official_name,candidate1,score1,reason1,candidate2,score2,reason2,candidate3,score3,reason3,candidate4,score4,reason4,candidate5,score5,reason5
グロリオーサ（ニョン婆）,グロリオーサ,0.990,strip_paren+norm==,,,,,,,,,,,,
ヘラクレス,ヘラクレスン,0.940,substring(norm_basic),,,,,,,,,,,,
ブルーゴリラ（ブルゴリ）,ブルーゴリラ(ブルゴリ),1.000,norm_basic==,,,,,,,,,,,,
サカズキ（赤犬）,サカズキ,0.990,strip_paren+norm==,,,,,,,,,,,,
ドーハ・イッタンカⅡ世,ドーハ・イッタンカII世,1.000,norm_basic==,,,,,,,,,,,,
チャドロス・ヒゲリゲス（茶ひげ）,チャドロス・ヒゲリゲス(茶ひげ),1.000,norm_basic==,,,,,,,,,,,,
ジャルマック聖,ジャルマック,0.940,substring(norm_basic),,,,,,,,,,,,
シャーリー,マダム・シャーリー,0.940,substring(norm_basic),,,,,,,,,,,,
バンダー・デッケン九世,バンダー・デッケン,0.940,substring(norm_basic),,,,,,,,,,,,
シーザー・クラウン,シーザークラウン,1.000,norm_basic==,,,,,,,,,,,,
瓢箪 フェン・ボック,フェン・ボック,0.940,substring(norm_basic),,,,,,,,,,,,
縄引きのチャッペ,チャッペ,0.940,substring(norm_basic),,,,,,,,,,,,
光月モモの助,モモの助,0.940,substring(norm_basic),,,,,,,,,,,,
イッショウ（藤虎）,イッショウ,0.990,strip_paren+norm==,,,,,,,,,,,,
ヴィオラ（ヴァイオレット）,ヴィオラ,0.990,strip_paren+norm==,,,,,,,,,,,,
キュロス（片足の兵隊）,キュロス,0.990,strip_paren+norm==,,,,,,,,,,,,
エリザベローⅡ世,エリザベロー,0.940,substring(norm_basic),,,,,,,,,,,,
キャベンディッシュ（ハクバ）,キャベンディッシュ,0.990,strip_paren+norm==,,,,,,,,,,,,
メイナード（キャップマン）,メイナード,0.990,strip_paren+norm==,,,,,,,,,,,,
ブルーギリー,ブルー・ギリー,1.000,norm_basic==,,,,,,,,,,,,
リク・ドルド3世（リッキー）,リク・ドルド,0.940,substring(norm_basic),,,,,,,,,,,,
ミロ（ワンポコ）,ミロ(ワンポコ),1.000,norm_basic==,,,,,,,,,,,,
イエローカブ（山吹オオカブトムシ）,イエローカブ,0.990,strip_paren+norm==,,,,,,,,,,,,
ピンクビー（桃色スズメバチ）,ピンクビー,0.990,strip_paren+norm==,,,,,,,,,,,,
マッハバイス,マッハ・バイス,1.000,norm_basic==,,,,,,,,,,,,
ラオG,ラオ・G,1.000,norm_basic==,,,,,,,,,,,,
黒炭カン十郎,カン十郎,0.940,substring(norm_basic),,,,,,,,,,,,
ドンキホーテ・ロシナンテ（コラソン）,ドンキホーテ・ロシナンテ(コラソン),1.000,norm_basic==,,,,,,,,,,,,
ドンキホーテ・ホーミング聖,ドンキホーテ・ホーミング,0.957,fuzzy_basic,,,,,,,,,,,,
ヴィンスモーク・レイジュ,レイジュ,0.940,substring(norm_basic),,,,,,,,,,,,
シャーロット・リンリン（ビッグ・マム）,シャーロット・リンリン(ビッグ・マム),1.000,norm_basic==,,,,,,,,,,,,
シャーロット・ブリュレ,ブリュレ,0.940,substring(norm_basic),,,,,,,,,,,,
シャーロット・アングレ,アングレ,0.940,substring(norm_basic),,,,,,,,,,,,
シャーロット・アマンド,アマンド,0.940,substring(norm_basic),,,,,,,,,,,,
カルメル,マザー・カルメル,0.940,substring(norm_basic),,,,,,,,,,,,
ビール６世,ビール6世,1.000,norm_basic==,,,,,,,,,,,,
トキカケ（茶豚）,トキカケ,0.990,strip_paren+norm==,,,,,,,,,,,,
ギオン（桃兎）,ギオン,0.990,strip_paren+norm==,,,,,,,,,,,,
ティー４世,ティー4世,1.000,norm_basic==,,,,,,,,,,,,
お玉（黒炭 玉）,お玉,0.990,strip_paren+norm==,,,,,,,,,,,,
菊之丞（お菊）,菊之丞(お菊),1.000,norm_basic==,,,,,,,,,,,,
