index,source_name,resolved,matched,master_id,master_name,reason,score,has_arc
111,ハンバーグ,ハンバーグ,True,181,ハンバーグ,si.find_character,,True
112,クザン（青雉）,クザン(青雉),True,176,クザン,si.find_character,,True
113,カク,カク,True,199,カク,si.find_character,,True
114,アイスバーグ,アイスバーグ,True,195,アイスバーグ,si.find_character,,True
115,ティラノサウルス,ティラノサウルス,True,1026,ティラノサウルス,si.find_character,,True
116,カリファ,カリファ,True,196,カリファ,si.find_character,,True
117,パウリー,パウリー,True,197,パウリー,si.find_character,,True
118,ロブ・ルッチ,ロブ・ルッチ,True,198,ロブ・ルッチ,si.find_character,,True
119,ハットリ,ハットリ,True,202,ハットリ,si.find_character,,True
120,タイルストン,タイルストン,True,200,タイルストン,si.find_character,,True
121,ブルーノ,ブルーノ,True,209,ブルーノ,si.find_character,,True
122,Tボーン,Tボーン,True,213,Tボーン,si.find_character,,True
123,ジャブラ,ジャブラ,True,218,ジャブラ,si.find_character,,True
124,フクロウ,フクロウ,True,219,フクロウ,si.find_character,,True
125,クマドリ,クマドリ,True,220,クマドリ,si.find_character,,True
126,カーシー,カーシー,True,222,カーシー,si.find_character,,True
127,オイモ,オイモ,True,221,オイモ,si.find_character,,True
128,クラウ・D・クローバー,クラウ・D・クローバー,True,229,クローバー,si.find_character,,True
129,ハグワール・D・サウロ,ハグワール・D・サウロ,True,230,ハグワール・D・サウロ,si.find_character,,True
130,ドーベルマン,ドーベルマン,True,355,ドーベルマン,si.find_character,,True
131,ヤマカジ,ヤマカジ,True,732,ヤマカジ,si.find_character,,True
132,モンキー・Ｄ・ガープ,モンキー・D・ガープ,True,236,モンキー・D・ガープ,si.find_character,,True
133,マルコ,マルコ,True,144,マルコ,si.find_character,,True
134,ペローナ,ペローナ,True,242,ペローナ,si.find_character,,True
135,デュバル,デュバル,True,260,デュバル,si.find_character,,True
136,ロズワード・シャルリア宮,ロズワード・シャルリア宮,True,266,シャルリア,si.find_character,,True
137,ロズワード・ロズワード聖,ロズワード・ロズワード聖,True,267,ロズワード,si.find_character,,True
138,シャクヤク（シャッキー）,シャクヤク(シャッキー),True,269,シャクヤク,si.find_character,,True
139,ジュエリー・ボニー,ジュエリー・ボニー,True,271,ジュエリー・ボニー,si.find_character,,True
140,ユースタス・キッド,ユースタス・キッド,True,1055,ユースタス・キッド,si.find_character,,True
